profile_id,canonical_name,canonical_key,catalog_class,catalog_reason,total_mentions,total_chunks,total_works,matched_chunk_count,matched_work_count,variant_count,collections,topic_families,variants,top_plant_parts,top_preparations,top_conditions,top_cautions,top_supporting_works,source_family_refs
seed-sarsaparilla,Sarsaparilla,sarsaparilla,medicinal-herb,curated-high-confidence-seed-term,1705,1573,391,1573,391,1,nlm-digital-collections;project-gutenberg;wellcome-collection,botanic-medicine;botany;convalescence;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia,Sarsaparilla,Root;Bark;Leaf;Seed;Gum,Decoction;Extract;Pill;Syrup;Powder,Rheumatism;Wounds or ulcers;Cold or catarrh;Fever;Inflammation,Dose caution;Narcotic or sedative caution;Child-use caution;Allergy or sensitivity caution;Toxicity watch,wellcome-ujbsp48n;wellcome-n7jvnwj6;wellcome-ump8j3f6;wellcome-g8fcur54;wellcome-b483zydr,term-sarsaparilla-8bcc3d24e8#sarsaparilla
seed-capsicum,Capsicum,capsicum,medicinal-herb,manual-curator-promoted-specific-family,1640,1537,377,1537,377,4,nlm-digital-collections;project-gutenberg;wellcome-collection,botanic-medicine;botany;convalescence;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia,Capsicum;Cayenne;Cayenne-pepper;Capsicums,Seed;Root;Bark;Gum;Leaf,Tincture;Tea;Powder;Oil;Infusion,Cold or catarrh;Wounds or ulcers;Fever;Vomiting or nausea;Rheumatism,Dose caution;Narcotic or sedative caution;Child-use caution;Toxicity watch;Allergy or sensitivity caution,wellcome-yvn7kra7;nlm-64220920R;wellcome-rt52bskh;nlm-63580630R;wellcome-bkhg7djn,term-capsicum-42906397a4#capsicum;term-cayenne-684b352dd4#cayenne;term-cayenne-pepper-113dc5bc15#cayenne-pepper
seed-lavender,Lavender,lavender,medicinal-herb,curated-high-confidence-seed-term,1666,1495,394,1495,394,3,nlm-digital-collections;project-gutenberg;wellcome-collection,botanic-medicine;botany;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Lavender;Lavender Flowers;Lavender Tops,Flower;Leaf;Root;Seed;Bark,Oil;Tincture;Powder;Essence;Ointment,Cold or catarrh;Wounds or ulcers;Rheumatism;Fever;Vomiting or nausea,Dose caution;Narcotic or sedative caution;Child-use caution;Toxicity watch;Fatal-risk warning,wellcome-ujbsp48n;wellcome-q648cs3p;wellcome-dwk6bbmw;wellcome-nhx2ne6y;wellcome-ka454p8x,term-lavender-fef8cec0ff#lavender
seed-valerian,Valerian,valerian,medicinal-herb,curated-high-confidence-seed-term,1609,1382,492,1382,492,1,nlm-digital-collections;project-gutenberg;wellcome-collection,botanic-medicine;botany;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Valerian,Root;Bark;Leaf;Seed;Gum,Tincture;Tea;Powder;Oil;Infusion,Cold or catarrh;Epilepsy or convulsions;Diarrhoea or looseness;Vomiting or nausea;Fever,Dose caution;Narcotic or sedative caution;Child-use caution;Toxicity watch;Bleeding caution,wellcome-ujbsp48n;nlm-63610340R;wellcome-dkebu9hu;wellcome-q648cs3p;nlm-61660590R,term-valerian-f108f41431#valerian
seed-jalap,Jalap,jalap,medicinal-herb,curated-high-confidence-seed-term,1383,1295,402,1295,402,1,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia,Jalap,Root;Resin;Gum;Leaf;Bark,Powder;Extract;Tincture;Pill;Oil,Diarrhoea or looseness;Constipation;Cold or catarrh;Dropsy;Fever,Dose caution;Narcotic or sedative caution;Child-use caution;Allergy or sensitivity caution;Bleeding caution,nlm-63580630R;wellcome-ujbsp48n;wellcome-thwh6g2c;nlm-63620310R;nlm-61660590R,term-jalap-3a3e7ecab9#jalap
seed-croton,Croton,croton,medicinal-herb,curated-high-confidence-seed-term,1346,1190,299,1190,299,1,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;convalescence;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia,Croton,Seed;Bark;Root;Leaf;Resin,Oil;Pill;Powder;Liniment;Emetic,Constipation;Cold or catarrh;Diarrhoea or looseness;Inflammation;Vomiting or nausea,Dose caution;Narcotic or sedative caution;Child-use caution;Toxicity watch;Allergy or sensitivity caution,wellcome-wghdhhgb;wellcome-xvhvxkhz;pg-41697;wellcome-je7nxmph;wellcome-g4ypyytg,term-croton-55ae378964#croton
seed-henbane,Henbane,henbane,medicinal-herb,curated-high-confidence-seed-term,1204,1101,303,1101,303,1,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia,Henbane,Leaf;Seed;Gum;Root;Flower,Extract;Tincture;Pill;Powder;Oil,Cough;Cold or catarrh;Inflammation;Wounds or ulcers;Constipation,Dose caution;Narcotic or sedative caution;Allergy or sensitivity caution;Child-use caution;Bleeding caution,wellcome-ujbsp48n;nlm-63580420R;wellcome-ggfm35sx;wellcome-n7jvnwj6;wellcome-g8fcur54,term-henbane-b2c19b8166#henbane
seed-belladonna,Belladonna,belladonna,medicinal-herb,manual-curator-promoted-specific-family,1270,1077,263,1077,263,1,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia,Belladonna,Leaf;Root;Resin;Bark;Seed,Extract;Tincture;Plaster;Oil;Powder,Cold or catarrh;Rheumatism;Inflammation;Wounds or ulcers;Fever,Dose caution;Narcotic or sedative caution;Child-use caution;Allergy or sensitivity caution;Toxicity watch,wellcome-q648cs3p;wellcome-dkebu9hu;wellcome-ujbsp48n;wellcome-f9769f9b;wellcome-aw2c3dda,term-belladonna-bdf51af573#belladonna
seed-squill,Squill,squill,medicinal-herb,curated-high-confidence-seed-term,1163,1074,349,1074,349,2,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;convalescence;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia,Squill;Squills,Root;Gum;Leaf;Bulb;Seed,Syrup;Tincture;Powder;Emetic;Oil,Cough;Cold or catarrh;Vomiting or nausea;Asthma;Fever,Dose caution;Narcotic or sedative caution;Child-use caution;Allergy or sensitivity caution;Fatal-risk warning,wellcome-ujbsp48n;nlm-63610340R;nlm-63580420R;wellcome-q648cs3p;nlm-63620310R,term-squill-4d444ec474#squill
seed-sassafras,Sassafras,sassafras,medicinal-herb,curated-high-confidence-seed-term,1099,1064,385,1064,385,1,nlm-digital-collections;project-gutenberg;wellcome-collection,botanic-medicine;botany;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia,Sassafras,Root;Bark;Seed;Gum;Leaf,Oil;Tincture;Tea;Decoction;Powder,Rheumatism;Wounds or ulcers;Cold or catarrh;Fever;Vomiting or nausea,Dose caution;Narcotic or sedative caution;Child-use caution;Bleeding caution;Fatal-risk warning,wellcome-ujbsp48n;nlm-63580630R;wellcome-jamxx58n;nlm-63570990R;nlm-0140313,term-sassafras-e4ea08a73f#sassafras
seed-nutmeg,Nutmeg,nutmeg,medicinal-herb,curated-high-confidence-seed-term,1157,1048,378,1048,378,2,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;convalescence;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Nutmeg;Nutmegs,Resin;Bark;Seed;Fruit;Root,Oil;Powder;Plaster;Bath;Extract,Cold or catarrh;Colic;Rheumatism;Inflammation;Diarrhoea or looseness,Dose caution;Narcotic or sedative caution;Child-use caution;Toxicity watch;Bleeding caution,wellcome-ujbsp48n;wellcome-a264n73x;wellcome-q648cs3p;wellcome-takhmyez;wellcome-q3jme7ef,term-nutmeg-749b0454b8#nutmeg
seed-barley,Barley,barley,medicinal-herb,curated-high-confidence-seed-term,1123,987,351,987,351,1,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia,Barley,Root;Gum;Fruit;Flower;Seed,Decoction;Oil;Infusion;Juice;Tea,Cold or catarrh;Inflammation;Fever;Vomiting or nausea;Wounds or ulcers,Dose caution;Toxicity watch;Bleeding caution;Narcotic or sedative caution;Child-use caution,wellcome-ujbsp48n;wellcome-bsnmkdkc;wellcome-jtzqa4xp;wellcome-fkxp4mmt;wellcome-mqb4h4ks,term-barley-d7a9ead0b1#barley
seed-aconite,Aconite,aconite,medicinal-herb,manual-curator-promoted-specific-family,1073,969,269,969,269,2,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;convalescence;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia,Aconite;Aconites,Root;Leaf;Flower;Bark;Seed,Tincture;Extract;Powder;Juice;Oil,Cold or catarrh;Fever;Rheumatism;Wounds or ulcers;Inflammation,Dose caution;Narcotic or sedative caution;Toxicity watch;Child-use caution;Fatal-risk warning,wellcome-wzfn65h9;wellcome-ujbsp48n;wellcome-w6wxy8cw;wellcome-dkebu9hu;nlm-64310710RX1,term-aconite-eeeaf94386#aconite
seed-tamarind,Tamarind,tamarind,medicinal-herb,curated-high-confidence-seed-term,947,936,198,936,198,2,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medicinal-plants;nursing;pharmacopoeia,Tamarind;Tamarinds,Fruit;Flower;Gum;Root;Bark,Decoction;Tea;Infusion;Juice;Oil,Fever;Inflammation;Vomiting or nausea;Cold or catarrh;Wounds or ulcers,Bleeding caution;Dose caution;Narcotic or sedative caution;Fatal-risk warning;Toxicity watch,nlm-2544048R;nlm-2544050R;nlm-2544051R;nlm-2544054R;nlm-8206720,term-tamarind-f898cb1f16#tamarind
seed-foxglove,Foxglove,foxglove,medicinal-herb,curated-high-confidence-seed-term,1038,919,299,919,299,2,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;convalescence;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia,Foxglove;Digitalis,Leaf;Bark;Root;Seed;Flower,Tincture;Infusion;Powder;Oil;Decoction,Cold or catarrh;Dropsy;Fever;Vomiting or nausea;Cough,Dose caution;Narcotic or sedative caution;Bleeding caution;Child-use caution;Toxicity watch,wellcome-ujbsp48n;wellcome-wghdhhgb;wellcome-q648cs3p;nlm-63570290R;wellcome-jfx4av9y,term-digitalis-94bca81b02#digitalis;term-foxglove-23df009e7f#foxglove
seed-oak,Oak,oak,medicinal-herb,curated-high-confidence-seed-term,986,913,409,913,409,1,nlm-digital-collections;project-gutenberg;wellcome-collection,botanic-medicine;botany;convalescence;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Oak,Bark;Root;Leaf;Flower;Seed,Decoction;Infusion;Powder;Oil;Tea,Cold or catarrh;Wounds or ulcers;Diarrhoea or looseness;Fever;Vomiting or nausea,Dose caution;Narcotic or sedative caution;Bleeding caution;Child-use caution;Toxicity watch,wellcome-ujbsp48n;nlm-63610340R;nlm-63560880R;nlm-61750800R;wellcome-xrjheg64,term-oak-df87764540#oak
seed-pennyroyal,Pennyroyal,pennyroyal,medicinal-herb,curated-high-confidence-seed-term,925,905,382,905,382,2,nlm-digital-collections;project-gutenberg;wellcome-collection,botanic-medicine;botany;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Pennyroyal;Penny-royal,Root;Gum;Leaf;Bark;Seed,Tea;Oil;Tincture;Powder;Emetic,Cough;Cold or catarrh;Vomiting or nausea;Diarrhoea or looseness;Rheumatism,Dose caution;Child-use caution;Narcotic or sedative caution;Bleeding caution;Allergy or sensitivity caution,nlm-100912803;nlm-63620310R;wellcome-jamxx58n;nlm-9435910;wellcome-mv32s6ry,term-pennyroyal-e710e82113#pennyroyal
seed-ipecacuanha,Ipecacuanha,ipecacuanha,medicinal-herb,curated-high-confidence-seed-term,940,881,320,881,320,1,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;convalescence;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Ipecacuanha,Root;Flower;Gum;Bark;Leaf,Powder;Syrup;Tincture;Pill;Emetic,Vomiting or nausea;Fever;Cold or catarrh;Diarrhoea or looseness;Cough,Dose caution;Narcotic or sedative caution;Child-use caution;Bleeding caution;Allergy or sensitivity caution,wellcome-ujbsp48n;nlm-63580630R;wellcome-g8fcur54;wellcome-n7jvnwj6;wellcome-ump8j3f6,term-ipecacuanha-5621bb9475#ipecacuanha
seed-coriander,Coriander,coriander,medicinal-herb,curated-high-confidence-seed-term,894,857,333,857,333,1,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Coriander,Seed;Root;Leaf;Bark;Flower,Powder;Oil;Syrup;Tincture;Infusion,Cold or catarrh;Wounds or ulcers;Colic;Gout;Diarrhoea or looseness,Dose caution;Narcotic or sedative caution;Child-use caution;Toxicity watch;Bleeding caution,wellcome-q648cs3p;wellcome-vcp6d7za;nlm-2751057R;wellcome-jmh3m2rt;wellcome-agdnfevh,term-coriander-4c44d1f41f#coriander
seed-guaiacum,Guaiacum,guaiacum,medicinal-herb,curated-high-confidence-seed-term,974,843,327,843,327,2,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;convalescence;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Guaiacum;Guaiacum Gum,Resin;Gum;Root;Bark;Seed,Tincture;Powder;Decoction;Pill;Oil,Rheumatism;Cold or catarrh;Wounds or ulcers;Gout;Fever,Dose caution;Narcotic or sedative caution;Child-use caution;Bleeding caution;Allergy or sensitivity caution,wellcome-wghdhhgb;wellcome-zhg3ff4c;wellcome-zjkfqhnm;nlm-61660590R;wellcome-ng7fpuv2,term-guaiacum-a2010c767d#guaiacum
seed-tobacco,Tobacco,tobacco,medicinal-herb,curated-high-confidence-seed-term,878,804,344,804,344,1,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;convalescence;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia,Tobacco,Leaf;Root;Bark;Flower;Seed,Infusion;Oil;Juice;Ointment;Decoction,Wounds or ulcers;Cold or catarrh;Vomiting or nausea;Dropsy;Consumption,Narcotic or sedative caution;Dose caution;Toxicity watch;Fatal-risk warning;Child-use caution,wellcome-ujbsp48n;wellcome-wghdhhgb;nlm-101515274;nlm-101509190;nlm-63750550R,term-tobacco-da43f06caa#tobacco
seed-saffron,Saffron,saffron,medicinal-herb,curated-high-confidence-seed-term,822,794,342,794,342,2,nlm-digital-collections;project-gutenberg;wellcome-collection,botanic-medicine;botany;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Saffron;Saffron Flowers,Root;Flower;Gum;Bark;Seed,Syrup;Tincture;Powder;Oil;Tea,Fever;Cold or catarrh;Vomiting or nausea;Wounds or ulcers;Cough,Dose caution;Narcotic or sedative caution;Child-use caution;Fatal-risk warning;Bleeding caution,wellcome-ujbsp48n;wellcome-vcp6d7za;wellcome-q648cs3p;nlm-2701678R;wellcome-nhx2ne6y,term-saffron-822f39a2cb#saffron
seed-buckthorn,Buckthorn,buckthorn,medicinal-herb,curated-high-confidence-seed-term,879,792,336,792,336,2,nlm-digital-collections;project-gutenberg;wellcome-collection,botanic-medicine;botany;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia,Buckthorn;Buck Thorn,Berry;Root;Flower;Seed;Bark,Syrup;Juice;Oil;Pill;Powder,Diarrhoea or looseness;Cold or catarrh;Vomiting or nausea;Gout;Dropsy,Dose caution;Child-use caution;Narcotic or sedative caution;Bleeding caution;Toxicity watch,wellcome-ujbsp48n;wellcome-takhmyez;wellcome-q648cs3p;wellcome-gtpbv42a;nlm-2701678R,term-buck-thorn-480e87e991#buck thorn;term-buckthorn-e03634200b#buckthorn
seed-marsh-mallow,Marsh-Mallow,marsh mallow,medicinal-herb,curated-high-confidence-seed-term,816,786,283,786,283,3,nlm-digital-collections;project-gutenberg;wellcome-collection,botanic-medicine;botany;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia,Marsh-Mallow;Marsh-mallows;Marsh-mallow,Root;Seed;Gum;Flower;Leaf,Decoction;Syrup;Tea;Oil;Infusion,Cold or catarrh;Inflammation;Vomiting or nausea;Cough;Fever,Dose caution;Bleeding caution;Child-use caution;Narcotic or sedative caution;Allergy or sensitivity caution,nlm-2751057R;nlm-63620420R;nlm-63620400R;nlm-63560150R;wellcome-fkxp4mmt,term-marsh-mallow-9597a11a95#marsh-mallow
seed-bayberry,Bayberry,bayberry,medicinal-herb,manual-curator-promoted-specific-family,800,765,188,765,188,5,nlm-digital-collections;project-gutenberg;wellcome-collection,botanic-medicine;botany;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Bayberry;Bay-berries;Bay- Berry;Bayberries;Bay-berrys,Bark;Root;Berry;Leaf;Seed,Tea;Powder;Tincture;Oil;Emetic,Cold or catarrh;Wounds or ulcers;Vomiting or nausea;Dysentery;Diarrhoea or looseness,Dose caution;Child-use caution;Bleeding caution;Narcotic or sedative caution;Allergy or sensitivity caution,nlm-63340900R;wellcome-bkhg7djn;wellcome-rt52bskh;nlm-64220920R;wellcome-yvn7kra7,term-bay-berry-159f9103e5#bay-berry;term-bayberry-b346a23c9f#bayberry
seed-mace,Mace,mace,medicinal-herb,curated-high-confidence-seed-term,845,736,317,736,317,1,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia,Mace,Gum;Resin;Leaf;Seed;Fruit,Oil;Plaster;Powder;Ointment;Extract,Rheumatism;Cold or catarrh;Vomiting or nausea;Diarrhoea or looseness;Wounds or ulcers,Narcotic or sedative caution;Dose caution;Bleeding caution;Fatal-risk warning;Child-use caution,wellcome-ujbsp48n;wellcome-q648cs3p;wellcome-tbt9dxgq;wellcome-takhmyez;wellcome-hqjgqauu,term-mace-20613c35da#mace
seed-stramonium,Stramonium,stramonium,medicinal-herb,manual-curator-promoted-specific-family,835,736,273,736,273,2,nlm-digital-collections;project-gutenberg;wellcome-collection,botanic-medicine;botany;convalescence;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia,Stramonium;Thorn-apple,Leaf;Seed;Root;Bark;Flower,Extract;Tincture;Ointment;Oil;Powder,Asthma;Cold or catarrh;Wounds or ulcers;Inflammation;Epilepsy or convulsions,Dose caution;Narcotic or sedative caution;Child-use caution;Allergy or sensitivity caution;Fatal-risk warning,nlm-63580630R;nlm-63620310R;wellcome-thwh6g2c;wellcome-f9769f9b;wellcome-ujbsp48n,term-stramonium-e691755837#stramonium;term-thorn-apple-2e6b027058#thorn-apple
seed-hop,Hop,hop,medicinal-herb,curated-high-confidence-seed-term,786,728,288,728,288,2,nlm-digital-collections;project-gutenberg;wellcome-collection,botanic-medicine;botany;convalescence;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Hop;Hops,Root;Leaf;Gum;Bark;Seed,Tincture;Extract;Infusion;Powder;Tea,Cold or catarrh;Inflammation;Fever;Wounds or ulcers;Vomiting or nausea,Dose caution;Narcotic or sedative caution;Child-use caution;Allergy or sensitivity caution;Toxicity watch,nlm-63580630R;nlm-63620310R;wellcome-thwh6g2c;wellcome-ujbsp48n;nlm-100912803,term-hop-87a0acaec0#hop
seed-colocynth,Colocynth,colocynth,medicinal-herb,curated-high-confidence-seed-term,827,725,230,725,230,1,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia,Colocynth,Seed;Resin;Bark;Root;Gum,Extract;Pill;Powder;Oil;Tincture,Constipation;Cold or catarrh;Inflammation;Diarrhoea or looseness;Gout,Dose caution;Narcotic or sedative caution;Child-use caution;Allergy or sensitivity caution;Toxicity watch,wellcome-ujbsp48n;wellcome-q648cs3p;nlm-63580420R;wellcome-cs5n98hu;wellcome-jmh3m2rt,term-colocynth-2e0bcbd441#colocynth
seed-wormwood,Wormwood,wormwood,medicinal-herb,curated-high-confidence-seed-term,787,722,326,722,326,2,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Wormwood;Wormwood Tops,Flower;Root;Leaf;Tops;Bark,Oil;Syrup;Extract;Pill;Powder,Cold or catarrh;Vomiting or nausea;Wounds or ulcers;Fever;Inflammation,Dose caution;Narcotic or sedative caution;Child-use caution;Toxicity watch;Fatal-risk warning,wellcome-ujbsp48n;wellcome-q648cs3p;wellcome-m43ephex;nlm-2548018R;wellcome-q3jme7ef,term-wormwood-f9e06099c6#wormwood
seed-cascarilla,Cascarilla,cascarilla,medicinal-herb,curated-high-confidence-seed-term,793,721,263,721,263,1,nlm-digital-collections;wellcome-collection,botany;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Cascarilla,Bark;Root;Seed;Flower;Leaf,Infusion;Tincture;Powder;Oil;Extract,Fever;Cold or catarrh;Diarrhoea or looseness;Gout;Vomiting or nausea,Dose caution;Narcotic or sedative caution;Child-use caution;Bleeding caution;Toxicity watch,wellcome-ujbsp48n;nlm-63620420R;nlm-63620400R;wellcome-g8fcur54;wellcome-j284bqe4,term-cascarilla-60a768f916#cascarilla
seed-quince,Quince,quince,medicinal-herb,curated-high-confidence-seed-term,760,689,297,689,297,2,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;convalescence;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia,Quince;Quinces,Seed;Root;Bark;Gum;Flower,Juice;Syrup;Oil;Decoction;Powder,Cold or catarrh;Diarrhoea or looseness;Wounds or ulcers;Vomiting or nausea;Fever,Dose caution;Narcotic or sedative caution;Toxicity watch;Child-use caution;Bleeding caution,wellcome-ujbsp48n;nlm-2751057R;wellcome-c4ncu7qz;wellcome-dn7yrsvs;nlm-2702091R,term-quince-4f67642c07#quince
seed-dandelion,Dandelion,dandelion,medicinal-herb,curated-high-confidence-seed-term,689,644,279,644,279,2,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Dandelion;Dandelions,Root;Bark;Leaf;Seed;Flower,Extract;Pill;Decoction;Juice;Powder,Cold or catarrh;Dropsy;Inflammation;Fever;Consumption,Dose caution;Narcotic or sedative caution;Child-use caution;Bleeding caution;Toxicity watch,wellcome-ujbsp48n;nlm-0140313;nlm-100912803;nlm-63570990R;nlm-63560150R,term-dandelion-077ff8c245#dandelion
seed-marshmallow,Marshmallow,marshmallow,medicinal-herb,curated-high-confidence-seed-term,690,632,208,632,208,2,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia,Marshmallow;Marshmallows,Root;Gum;Flower;Leaf;Seed,Syrup;Decoction;Oil;Powder;Tea,Cold or catarrh;Wounds or ulcers;Inflammation;Cough;Dysentery,Dose caution;Narcotic or sedative caution;Child-use caution;Bleeding caution;Allergy or sensitivity caution,wellcome-ujbsp48n;nlm-63610340R;nlm-63580630R;wellcome-q648cs3p;nlm-2701678R,term-marshmallow-5a9fee2cb0#marshmallow
seed-bitter-almond,Bitter Almond,bitter almond,medicinal-herb,curated-high-confidence-seed-term,674,614,214,614,214,2,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Bitter Almond;Bitter Almonds,Leaf;Seed;Bark;Fruit;Resin,Oil;Essence;Powder;Syrup;Emetic,Cold or catarrh;Epilepsy or convulsions;Vomiting or nausea;Cough;Fever,Toxicity watch;Dose caution;Narcotic or sedative caution;Fatal-risk warning;Child-use caution,wellcome-wghdhhgb;wellcome-dkebu9hu;wellcome-skdfu5qa;wellcome-a9mav4xd;wellcome-c5zgvvdt,term-bitter-almond-2e9360bf94#bitter almond
seed-rue,Rue,rue,medicinal-herb,manual-curator-promoted-specific-family,633,585,257,585,257,1,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;pharmacopoeia;public-health,Rue,Leaf;Seed;Root;Flower;Gum,Oil;Juice;Powder;Decoction;Infusion,Epilepsy or convulsions;Cold or catarrh;Cough;Fever;Wounds or ulcers,Dose caution;Narcotic or sedative caution;Child-use caution;Bleeding caution;Toxicity watch,wellcome-ujbsp48n;nlm-2751057R;nlm-2548018R;wellcome-takhmyez;wellcome-ttetz6t2,term-rue-1b0460762c#rue
seed-mallow,Mallow,mallow,medicinal-herb,curated-high-confidence-seed-term,618,542,283,542,283,3,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medicinal-plants;nursing;pharmacopoeia,Mallow;Mallows;Mallowes,Flower;Root;Seed;Leaf;Gum,Decoction;Oil;Tea;Poultice;Syrup,Inflammation;Cold or catarrh;Wounds or ulcers;Fever;Cough,Bleeding caution;Dose caution;Fatal-risk warning;Narcotic or sedative caution;Child-use caution,wellcome-ujbsp48n;nlm-2544044R;nlm-63610340R;wellcome-bgpqksyy;nlm-2544053R,term-mallow-b3af2d2033#mallow
