work_id,title,collection_id,topic_family,source_mode,chunk_count,paragraph_count,section_count,thin_band,review_class,recommended_action,heuristic_score,family_id,family_label,family_work_count,family_chunked_count,member_role,reference_signals,fragment_signals,heuristic_reasons,manifest_path
wellcome-b2hszaak,"Catalogue of medicinal plants, according to their natural orders / [Andrew Duncan].",wellcome-collection,herbal;materia-medica;medicinal-plants,,26,26,1,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,126,family-catalogue-of-medicinal-plants-according-to-their-0926a5f608,"Catalogue of medicinal plants, according to their natural orders.",2,2,copy,medicinal-plants,,severe-thin-length;single-section-shape;multi-work-family;reference-shaped-title:medicinal-plants,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-b2hszaak\manifest.json
wellcome-hwz5swrt,"Catalogue of medicinal plants, according to their natural orders.",wellcome-collection,medicinal-plants,wellcome_text_api,26,26,1,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,126,family-catalogue-of-medicinal-plants-according-to-their-0926a5f608,"Catalogue of medicinal plants, according to their natural orders.",2,2,canonical,medicinal-plants,,severe-thin-length;single-section-shape;multi-work-family;reference-shaped-title:medicinal-plants,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-hwz5swrt\manifest.json
nlm-2567001R,The pharmacopoeia of the United States of America : 1820,nlm-digital-collections,pharmacopoeia,,29,30,1,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,126,family-pharmacopoeia-of-the-united-states-of-america-un-b243c5f005,The Pharmacopoeia of the United States of America,2,2,copy,pharmacopoeia,,severe-thin-length;single-section-shape;multi-work-family;reference-shaped-title:pharmacopoeia,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-2567001R\manifest.json
wellcome-zmf335pm,Pharmacopoeia.,wellcome-collection,pharmacopoeia,wellcome_text_api,32,35,1,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,126,family-pharmacopoeia-unknown-075e684c5a,Pharmacopoeia.,2,1,canonical,pharmacopoeia,,severe-thin-length;single-section-shape;multi-work-family;reference-shaped-title:pharmacopoeia,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-zmf335pm\manifest.json
wellcome-ykn8y87z,"A pharmacopoeia for diseases of the skin : containing a concise formula, baths, rules of diet, classification, and therapeutical index / edited by James Startin.",wellcome-collection,pharmacopoeia,wellcome_text_api,46,46,1,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,126,family-pharmacopoeia-for-diseases-of-the-skin-unknown-4d1c740987,A pharmacopoeia for diseases of the skin,2,1,canonical,pharmacopoeia,,severe-thin-length;single-section-shape;multi-work-family;reference-shaped-title:pharmacopoeia,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-ykn8y87z\manifest.json
nlm-0127160,"The household guide, or, Domestic cyclopedia : a practical family physician, home remedies, and home treatment on all diseases, an instructor on nursing, housekeeping, and home adornments",nlm-digital-collections,domestic-medicine;nursing;household-health,,48,50,1,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,126,family-household-guide-or-domestic-cyclopedia-jefferis--2c91ca1e92,"The household guide, or, Domestic cyclopedia",2,2,copy,manual,,severe-thin-length;single-section-shape;multi-work-family;reference-shaped-title:manual,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-0127160\manifest.json
wellcome-t8jfxryn,"Dr. John Williams' Last legacy, or, The useful family herbal.",wellcome-collection,herbal;materia-medica,,49,49,1,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,126,family-dr-john-williams-last-legacy-or-the-useful-famil-577de0daa4,"Dr. John Williams' Last legacy, or, The useful family herbal",2,2,copy,herbal,,severe-thin-length;single-section-shape;multi-work-family;reference-shaped-title:herbal,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-t8jfxryn\manifest.json
nlm-63030210R,The elements of health : an introduction to the study of hygiene,nlm-digital-collections,hygiene;public-health,,26,36,5,severe-thin,thin-general,review-for-quarantine-or-lower-weight,122,family-elements-of-health-parkes-lc1-12a440bf62,The elements of health,2,1,canonical,,,severe-thin-length;multi-work-family,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-63030210R\manifest.json
nlm-2551003R,"The medical assistant, or Jamaica practice of physic : designed chiefly for the use of families and plantations",nlm-digital-collections,materia-medica,,36,74,7,severe-thin,thin-general,review-for-quarantine-or-lower-weight,122,family-medical-assistant-or-jamaica-practice-of-physic--e3eb706491,"The medical assistant, or Jamaica practice of physic",4,1,canonical,,,severe-thin-length;multi-work-family,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-2551003R\manifest.json
nlm-101646762,"A manual of organic materia medica and pharmacognosy : an introduction to the study of the vegetable kingdom and the vegetable and animal drugs : comprising the botanical and physical characteristics, source, constituents, pharmacopoeial preparations, insects injurious to drugs, and pharmacal botany",nlm-digital-collections,materia-medica;botany,,19,19,1,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,118,family-manual-of-organic-materia-medica-and-pharmacogno-979af788df,A manual of organic materia medica and pharmacognosy,2,2,canonical,botany;materia-medica;manual,,severe-thin-length;single-section-shape;multi-work-family;reference-shaped-title:botany|materia-medica|manual,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-101646762\manifest.json
nlm-61741140R,"Manual of materia medica & therapeutics : being an abridgement of the late Dr. Pereira's Elements of materia medica , arranged in conformity with the British pharmacopoeia, and adapted to the use of medical practitioners, chemists and druggists, medical and pharmaceutical students, &c",nlm-digital-collections,materia-medica;pharmacopoeia,,46,46,1,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,118,family-manual-of-materia-medica-and-therapeutics-pereir-18a1d1fbc8,Manual of materia medica & therapeutics,7,5,canonical,materia-medica;pharmacopoeia;manual,,severe-thin-length;single-section-shape;multi-work-family;reference-shaped-title:materia-medica|pharmacopoeia|manual,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-61741140R\manifest.json
nlm-101646760,"A manual of organic materia medica and pharmacognosy : an introduction to the study of the vegetable kingdom and the vegetable and animal drugs : comprising the botanical and physical characteristics, source, constituents, and pharmacopoeial preparations : with chapters on synthetic organic remedies, insects injurious to drugs, and pharmacal botany",nlm-digital-collections,materia-medica;botany,,47,47,1,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,118,family-manual-of-organic-materia-medica-and-pharmacogno-979af788df,A manual of organic materia medica and pharmacognosy,2,2,edition,botany;materia-medica;manual,,severe-thin-length;single-section-shape;multi-work-family;reference-shaped-title:botany|materia-medica|manual,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-101646760\manifest.json
wellcome-s7jhvqy4,Patent of George Sinclair : raising and cultivating medicinal plants.,wellcome-collection,medicinal-plants,wellcome_text_api,17,20,1,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,114,family-patent-of-george-sinclair-unknown-a99d647680,Patent of George Sinclair,1,1,canonical,medicinal-plants,,severe-thin-length;single-section-shape;reference-shaped-title:medicinal-plants,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-s7jhvqy4\manifest.json
nlm-32620180R,"The home physician and guide to health : a treatise on the prevention and cure of disease, not intended to take the place of the family physician, but to aid the reader in cooperating with him intelligently",nlm-digital-collections,domestic-medicine;hygiene,,18,19,1,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,114,family-home-physician-and-guide-to-health-unknown-8a6a94d16b,The home physician and guide to health,1,1,canonical,manual,,severe-thin-length;single-section-shape;reference-shaped-title:manual,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-32620180R\manifest.json
nlm-101549361,"Gunn's newest family physician, or, Home-book of health : an approved household guide for avoiding disease and prolonging life, giving clear directions in case of drowning, poisoning, wounds and other emergencies, with plain instructions for managing the sick-room and nursing the sick : and pointing out the best methods for securing pure air, pure water, and proper drainage for dwellings and premises, and familiarly indicating the causes and symptoms and the requisite treatment for the cure of the diseases incident to men, women, and children : with the simplest and best remedies, more especially those from the vegetable materia medica : accurate descriptions are given of the forms, properties, and uses of hundreds of well-known medicinal plants : also, separate treatises on anatomy, physiology, and hygiene, on domestic and sanitary economy, and illustrated lessons for physical recreation in swimming, rowing, riding, jumping, etc. : with an appendix containing some 400 tested practical recipes and remedies for diseases of domestic animals",nlm-digital-collections,materia-medica;medicinal-plants;domestic-medicine;hygiene;nursing;household-health,,22,49,10,severe-thin,severe-thin-fragment,keep-but-review-retrieval-weight,114,family-gunns-newest-family-physician-or-home-book-of-he-64d01881e5,"Gunn's newest family physician, or, Home-book of health",1,1,canonical,medicinal-plants;materia-medica;manual,appendix,severe-thin-length;fragment-shaped-title:appendix;reference-shaped-title:medicinal-plants|materia-medica|manual,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-101549361\manifest.json
nlm-61860090R,Nomenclature and pharmacopoeia of the New York Dispensary,nlm-digital-collections,pharmacopoeia,,25,26,1,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,114,family-nomenclature-and-pharmacopoeia-of-the-new-york-d-9dd01be378,Nomenclature and pharmacopoeia of the New York Dispensary,1,1,canonical,pharmacopoeia,,severe-thin-length;single-section-shape;reference-shaped-title:pharmacopoeia,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-61860090R\manifest.json
wellcome-qn4qrtp9,"The English-physicians dayly practise. Or, Culpeper's faithful physitian ... : To which is added, Mr. Culpepper's new ... herbal / [Nicholas Culpeper].",wellcome-collection,herbal,wellcome_text_api,26,26,1,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,114,family-english-physicians-dayly-practise-or-culpepers-f-5dd8b834a9,"The English-physicians dayly practise. Or, Culpeper's faithful physitian ...",1,1,canonical,herbal,,severe-thin-length;single-section-shape;reference-shaped-title:herbal,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-qn4qrtp9\manifest.json
nlm-101636373,"Merck's 1896 index : an encyclopedia for the physician and the pharmacist : stating the names and synonyms, source of origin, chemical nature and formulas, physical form, appearance, and properties, melting and boiling points, solubilities, gravities and percentage strengths, physiological effects, therapeutic uses, modes of administration and application, regular and maximum dosage, incompatibles, antidotes : special cautions, hints on keeping and handling, methods of testing, market values, etc., etc. of the chemicals and drugs used in medicine, in chemistry, and in the arts",nlm-digital-collections,materia-medica,,27,28,1,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,114,family-mercks-1896-index-unknown-33ef27593f,Merck's 1896 index,1,1,canonical,conspectus,,severe-thin-length;single-section-shape;reference-shaped-title:conspectus,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-101636373\manifest.json
wellcome-t999cfmb,"Institutes of therapeutics and materia medica / by William Saunders, M. D. Fellow of the Royal College of Physicians, and Senior Physician to Guys Hospital.",wellcome-collection,materia-medica,wellcome_text_api,29,30,1,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,114,family-institutes-of-therapeutics-and-materia-medica-un-22ec904546,Institutes of therapeutics and materia medica,1,1,canonical,materia-medica,,severe-thin-length;single-section-shape;reference-shaped-title:materia-medica,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-t999cfmb\manifest.json
wellcome-rhhwee8m,"Pharmacopoeia of St. Saviour's infirmary, East Dulwich.",wellcome-collection,materia-medica;pharmacopoeia;dietetics,wellcome_text_api,30,30,1,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,114,family-pharmacopoeia-of-st-saviours-infirmary-east-dulw-b165018188,"Pharmacopoeia of St. Saviour's infirmary, East Dulwich.",1,1,canonical,pharmacopoeia,,severe-thin-length;single-section-shape;reference-shaped-title:pharmacopoeia,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-rhhwee8m\manifest.json
wellcome-me9wem67,"Assistant plates to the materia medica ; or, figures of such plants and animals as are used in medicine : adapted to the most celebrated treatises on the materia medica / by William Curtis.",wellcome-collection,materia-medica;botany,wellcome_text_api,31,35,1,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,114,family-assistant-plates-to-the-materia-medica-unknown-6292b3c846,Assistant plates to the materia medica,1,1,canonical,materia-medica,,severe-thin-length;single-section-shape;reference-shaped-title:materia-medica,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-me9wem67\manifest.json
nlm-101693692,Our native materia medica : an essay to which was awarded the prize of the Boylston Medical Society in 1864,nlm-digital-collections,materia-medica,,35,35,1,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,114,family-our-native-materia-medica-weld-fm1-230d418368,Our native materia medica,1,1,canonical,materia-medica,,severe-thin-length;single-section-shape;reference-shaped-title:materia-medica,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-101693692\manifest.json
nlm-101760486,Medical botany and chemistry,nlm-digital-collections,medical-botany;botany,,35,36,1,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,114,family-medical-botany-and-chemistry-band-c-7bb04bcfb5,Medical botany and chemistry,1,1,canonical,botany,,severe-thin-length;single-section-shape;reference-shaped-title:botany,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-101760486\manifest.json
nlm-101214333,"The University guide to health : explaining the causes, symptoms, and treatment of various diseases, hygiene, and the administration of the University medicines",nlm-digital-collections,domestic-medicine;hygiene,,36,36,1,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,114,family-university-guide-to-health-scott-jw-10485ec274,The University guide to health,1,1,canonical,manual,,severe-thin-length;single-section-shape;reference-shaped-title:manual,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-101214333\manifest.json
nlm-2572013R,"A guide to health : being a compendium of medical instruction, upon botanic principles : designed for the use of families, and private individuals",nlm-digital-collections,domestic-medicine,,38,39,1,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,114,family-guide-to-health-smith-jh-967aea3a02,A guide to health,1,1,canonical,manual,,severe-thin-length;single-section-shape;reference-shaped-title:manual,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-2572013R\manifest.json
wellcome-sxzjt4da,"The family physician, surgeon, and cattlekeeper's guide ... containing many valuable prescriptions ... for curing or relieving various diseases of the human body, and of cattle, from drugs and herbs / [Joseph Arundel].",wellcome-collection,herbal;domestic-medicine,,40,41,1,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,114,family-family-physician-surgeon-and-cattlekeepers-guide-1681420e2f,"The family physician, surgeon, and cattlekeeper's guide ... containing many valuable prescriptions ... for curing or relieving various diseases of the human body, and of cattle, from drugs and herbs",1,1,canonical,manual,,severe-thin-length;single-section-shape;reference-shaped-title:manual,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-sxzjt4da\manifest.json
nlm-09431320R,Materia medica for pharmacy technicians,nlm-digital-collections,materia-medica,,47,49,1,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,114,family-materia-medica-for-pharmacy-technicians-hospital-ce0627e97e,Materia medica for pharmacy technicians,1,1,canonical,materia-medica,,severe-thin-length;single-section-shape;reference-shaped-title:materia-medica,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-09431320R\manifest.json
nlm-101515929,King's American dispensatory,nlm-digital-collections,materia-medica,,48,48,1,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,114,family-kings-american-dispensatory-king-j1-247d09e303,King's American dispensatory,1,1,canonical,dispensatory,,severe-thin-length;single-section-shape;reference-shaped-title:dispensatory,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-101515929\manifest.json
nlm-101729769,The botanical names of the U.S. pharmacopœia,nlm-digital-collections,materia-medica;botany,,49,49,1,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,114,family-botanical-names-of-the-u-s-pharmacopoeia-rusby-h-23c44c6e0a,The botanical names of the U.S. pharmacopoeia,1,1,canonical,botany,,severe-thin-length;single-section-shape;reference-shaped-title:botany,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-101729769\manifest.json
wellcome-ay3sf7tc,"Popular herbal remedies : a handbook / [Potter & Clarke, Ltd].",wellcome-collection,herbal,wellcome_text_api,24,24,1,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,110,family-popular-herbal-remedies-unknown-5465e48e31,Popular herbal remedies,1,1,canonical,herbal;manual,,severe-thin-length;single-section-shape;reference-shaped-title:herbal|manual,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-ay3sf7tc\manifest.json
nlm-63580350R,"Johnson's family physician : from the ablest medical authorities, giving numerous and dangerous diseases to which the human race is subject, the symptoms and treatment, or what is necessary to be done in an emergency for the patient before the physician arrives, thereby alleviating suffering and often saving life",nlm-digital-collections,domestic-medicine,,30,63,6,severe-thin,thin-general,review-for-quarantine-or-lower-weight,110,family-johnsons-family-physician-hudson-ed1-5de952cf22,Johnson's family physician,1,1,canonical,,,severe-thin-length,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-63580350R\manifest.json
wellcome-taw7jsqg,"The articles and preparations of the British Pharmacopoeia, pointed according to their relative values : designed to aid in the study of the materia medica / by Alexander Harvey and Alexander Dyce Davidson.",wellcome-collection,materia-medica;pharmacopoeia,wellcome_text_api,31,31,1,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,110,family-articles-and-preparations-of-the-british-pharmac-6280f3c2cb,"The articles and preparations of the British Pharmacopoeia, pointed according to their relative values",1,1,canonical,materia-medica;pharmacopoeia,,severe-thin-length;single-section-shape;reference-shaped-title:materia-medica|pharmacopoeia,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-taw7jsqg\manifest.json
nlm-101178768,The family almanac and guide to health,nlm-digital-collections,domestic-medicine,,25,37,2,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,108,family-family-almanac-and-guide-to-health-fitch-ss1-f553489454,The family almanac and guide to health,2,1,canonical,manual,,severe-thin-length;multi-work-family;reference-shaped-title:manual,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-101178768\manifest.json
nlm-64230300R,"The sick man's friend : being a plain, practical medical work designed for the use of families and individuals on vegetable, or botanical principles : in four parts",nlm-digital-collections,botany,,25,71,5,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,108,family-sick-mans-friend-sanborn-pe1-8b89d6a039,The sick man's friend,4,3,canonical,botany,,severe-thin-length;multi-work-family;reference-shaped-title:botany,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-64230300R\manifest.json
nlm-63580090R,"The family physician and guide to health : a system of domestic medicine , including a treatise on midwifery and the diseases peculiar to women",nlm-digital-collections,domestic-medicine;hygiene,,28,46,5,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,108,family-family-physician-and-guide-to-health-hammack-eb-035f5a681e,The family physician and guide to health,2,1,canonical,manual,,severe-thin-length;multi-work-family;reference-shaped-title:manual,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-63580090R\manifest.json
nlm-101313340,"Homoeopathic domestic physician : containing the treatment of diseases, popular explanations of physiology, hygiene, hydropathy, anatomy and surgery, with illustrations and an abridged materia medica : with full explanations as to the use of the new remedies",nlm-digital-collections,materia-medica;hygiene,,30,51,7,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,108,family-homoeopathic-domestic-physician-pulte-jh1-1b572da989,Homoeopathic domestic physician,19,4,edition,materia-medica,,severe-thin-length;multi-work-family;reference-shaped-title:materia-medica,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-101313340\manifest.json
nlm-64230020R,"An epitome of the American eclectic practice of medicine, surgery, obstetrics, diseases of women and children, materia medica and pharmacy : designed as a text book for physicians, and students of medicine",nlm-digital-collections,materia-medica,,31,40,4,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,108,family-epitome-of-the-american-eclectic-practice-of-med-0e5287ff52,"An epitome of the American eclectic practice of medicine, surgery, obstetrics, diseases of women and children, materia medica and pharmacy",4,1,canonical,materia-medica,,severe-thin-length;multi-work-family;reference-shaped-title:materia-medica,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-64230020R\manifest.json
nlm-61860730R,"The Prescriber's pharmacopoeia : containing all the medicines in the London pharmacopoeia, arranged in classes according to their action, with their composition and doses",nlm-digital-collections,pharmacopoeia,,32,108,8,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,108,family-prescribers-pharmacopoeia-unknown-dcb5e2383b,The Prescriber's pharmacopoeia,3,3,copy,pharmacopoeia,,severe-thin-length;multi-work-family;reference-shaped-title:pharmacopoeia,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-61860730R\manifest.json
nlm-101312479,"Domestic medicine : a treatise on the prevention and cure of diseases, by regimen and simple medicines : with directions for the management of common cases in surgery, as fractures, dislocations and wounds : the treatment peculiar to the diseases of women and children : with observations on the art of preserving health, without the aid of medicine : and a treatise on animal, vegetable, mineral and aerial poisons, pointing out the symptoms, antidotes and means of cure, in cases of poisoning ; to which is annexed, a dispensatory, for the use of private practitioners, and a glossary, explaining technical terms",nlm-digital-collections,herbal;materia-medica;domestic-medicine;pharmacopoeia,,32,44,5,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,104,family-domestic-medicine-buchan-w1-7028d904c7,Domestic medicine,17,13,edition,dispensatory;dictionary,,severe-thin-length;multi-work-family;reference-shaped-title:dispensatory|dictionary,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-101312479\manifest.json
nlm-101573469,"Quincy's Lexicon-medicum : a new medical dictionary, containing an explanation of the terms in anatomy, physiology, practice of physic, materia medica , chymistry, pharmacy, surgery, midwifery, and the various branches of natural philosophy connected with medicine",nlm-digital-collections,materia-medica,,38,55,4,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,104,family-quincys-lexicon-medicum-hooper-r1-25b5f55d3c,Quincy's Lexicon-medicum,4,4,canonical,materia-medica;dictionary,,severe-thin-length;multi-work-family;reference-shaped-title:materia-medica|dictionary,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-101573469\manifest.json
nlm-101526713,"Lexicon medicum, or, Medical dictionary : containing an explanation of the terms in anatomy, botany, chemistry, materia medica, midwifery, mineralogy, pharmacy, physiology, practice of physic, surgery, and the various branches of natural philosophy connected with medicine : selected, arranged, and compiled from the best authors",nlm-digital-collections,materia-medica;botany,,26,46,2,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,100,family-lexicon-medicum-or-medical-dictionary-hooper-r1-2543dac49e,"Lexicon medicum, or, Medical dictionary",15,12,edition,botany;materia-medica;dictionary,,severe-thin-length;multi-work-family;reference-shaped-title:botany|materia-medica|dictionary,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-101526713\manifest.json
nlm-101602779,"A conspectus of the pharmacopoeias of the London, Edinburgh, and Dublin Colleges of Physicians, and of the United States pharmacopoeia : being a practical compendium of materia medica and pharmacy",nlm-digital-collections,materia-medica;pharmacopoeia,,33,59,7,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,100,family-conspectus-of-the-pharmacopoeias-of-the-london-e-416363bf92,"A conspectus of the pharmacopoeias of The London, Edinburgh and Dublin Colleges of Physicians, and of The United States Pharmacopoeia",4,4,copy,materia-medica;pharmacopoeia;conspectus,,severe-thin-length;multi-work-family;reference-shaped-title:materia-medica|pharmacopoeia|conspectus,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-101602779\manifest.json
nlm-101526718,"Lexicon medicum, or, Medical dictionary : containing an explanation of the terms in anatomy, botany, chemistry, materia medica, midwifery, mineralogy, pharmacy, physiology, practice of physic, surgery, and the various branches of natural philosophy connected with medicine : selected, arranged, and compiled from the best authors",nlm-digital-collections,materia-medica;botany,,36,68,6,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,100,family-lexicon-medicum-or-medical-dictionary-hooper-r1-2543dac49e,"Lexicon medicum, or, Medical dictionary",15,12,edition,botany;materia-medica;dictionary,,severe-thin-length;multi-work-family;reference-shaped-title:botany|materia-medica|dictionary,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-101526718\manifest.json
nlm-2575001R,"Historical sketch of the Thomsonian system of the practice of medicine on botanical principles : as originated by Samuel Thomson, and continued by his coadjutors",nlm-digital-collections,botany,,21,28,4,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,96,family-historical-sketch-of-the-thomsonian-system-of-th-c6fd04e39c,Historical sketch of the Thomsonian system of the practice of medicine on botanical principles,1,1,canonical,botany,,severe-thin-length;reference-shaped-title:botany,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-2575001R\manifest.json
nlm-2546060R,The universal guide to health : by a rational course of food and diet,nlm-digital-collections,domestic-medicine;dietetics,,35,78,4,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,96,family-universal-guide-to-health-combe-a1-42fe6d2ada,The universal guide to health,1,1,canonical,manual,,severe-thin-length;reference-shaped-title:manual,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-2546060R\manifest.json
