rank,frontier_score,frontier_stage,family_id,family_label,canonical_work_id,family_work_count,family_chunked_count,family_discovered_count,family_failed_count,family_collection_ids,family_jurisdiction_lanes,family_topic_family,candidate_work_id,candidate_title,candidate_collection_id,candidate_jurisdiction_lane,candidate_creator,candidate_publication_year,candidate_ingest_status,candidate_member_role,candidate_volume_like,candidate_series_title_key,candidate_creator_title_key,candidate_priority_score,candidate_title_penalty,candidate_topic_score,candidate_archive_series_count,candidate_archive_creator_series_count,candidate_archive_series_penalty,candidate_archive_creator_series_penalty,rationale
187,1452,uncovered_family,family-de-historia-plantarum-libri-decem-graece-and-lat-15b120b0ab,"De historia plantarum libri decem, Graece & Latine",wellcome-bz3ek8s6,1,0,1,0,wellcome-collection,UK,materia-medica,wellcome-bz3ek8s6,"De historia plantarum libri decem, Graece & Latine : in quibus textum Graecum variis lectionibus, emendationibus, hiulcorum supplementis; latinum Gazae versionem nova interpretatione ad margines: totum opus absolutissimis cum notis tum commentariis ... / illustravit Joannes Bodaeus ... Accesserunt Julii Caesaris Scaligeri in eosdem libros animadversiones et Roberti Constantini annotationes.",wellcome-collection,UK,,1644,discovered,canonical,no,de historia plantarum libri decem graece and latine,unknown::de historia plantarum libri decem graece and latine,476,0,38,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: materia-medica; recommended lane: wellcome-collection; canonical candidate
188,1452,uncovered_family,family-elements-of-the-practice-of-physic-unknown-537d169919,Elements of the practice of physic,wellcome-xkppzchb,1,0,1,0,wellcome-collection,UK,materia-medica,wellcome-xkppzchb,Elements of the practice of physic : presenting a view of the present state of special pathology and therapeutics / by David Craigie.,wellcome-collection,UK,,1836,discovered,canonical,no,elements of the practice of physic,unknown::elements of the practice of physic,476,0,38,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: materia-medica; recommended lane: wellcome-collection; canonical candidate
189,1452,uncovered_family,family-examen-omnium-simplicium-medicamentorum-quorum-i-f5c485982a,"Examen omnium simplicium medicamentorum quorum in officinis usus est. Addita sunt insuper Aristotelis Problemata quae ad stirpium genus, et oleracea pertinent",wellcome-na66narq,1,0,1,0,wellcome-collection,UK,materia-medica,wellcome-na66narq,"Examen omnium simplicium medicamentorum quorum in officinis usus est. Addita sunt insuper Aristotelis Problemata quae ad stirpium genus, et oleracea pertinent / Antonii Mvsae Brasavoli.",wellcome-collection,UK,,1539,discovered,canonical,no,examen omnium simplicium medicamentorum quorum in officinis usus est addita sunt insuper aristotelis problemata quae ad stirpium genus et oleracea pertinent,unknown::examen omnium simplicium medicamentorum quorum in officinis usus est addita sunt insuper aristotelis problemata quae ad stirpium genus et oleracea pertinent,476,0,38,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: materia-medica; recommended lane: wellcome-collection; canonical candidate
190,1452,uncovered_family,family-experimental-essays-on-the-following-subjects-i--f3892f3362,Experimental essays on the following subjects: I. On the external application of antiseptics in putrid diseases. II. On the doses and effects of medicines. III. On diuretics and sudorifics,wellcome-uckstnrw,1,0,1,0,wellcome-collection,UK,materia-medica,wellcome-uckstnrw,Experimental essays on the following subjects: I. On the external application of antiseptics in putrid diseases. II. On the doses and effects of medicines. III. On diuretics and sudorifics / By William Alexander.,wellcome-collection,UK,,1768,discovered,canonical,no,experimental essays on the following subjects i on the external application of antiseptics in putrid diseases ii on the doses and effects of medicines iii on diuretics and sudorifics,unknown::experimental essays on the following subjects i on the external application of antiseptics in putrid diseases ii on the doses and effects of medicines iii on diuretics and sudorifics,476,0,38,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: materia-medica; recommended lane: wellcome-collection; canonical candidate
191,1452,uncovered_family,family-formulary-for-the-preparation-and-mode-of-employ-bed5037fe4,Formulary for the preparation and mode of employing several new remedies,wellcome-awgn522x,1,0,1,0,wellcome-collection,UK,materia-medica,wellcome-awgn522x,"Formulary for the preparation and mode of employing several new remedies : namely, morphine, iodine, quinine ... / with an introduction, and copious notes, by the late Charles Thomas Haden ; translated from the French of the third edition of Magendie's ""Formulaire.""",wellcome-collection,UK,,1824,discovered,canonical,no,formulary for the preparation and mode of employing several new remedies,unknown::formulary for the preparation and mode of employing several new remedies,476,0,38,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: materia-medica; recommended lane: wellcome-collection; canonical candidate
192,1452,uncovered_family,family-hermanni-boerhaave-phil-and-med-doctoris-tractat-88730993f8,"Hermanni Boerhaave, phil. & med. doctoris ... Tractatus de viribus medicamentorum",wellcome-menf2m7f,1,0,1,0,wellcome-collection,UK,materia-medica,wellcome-menf2m7f,"Hermanni Boerhaave, phil. & med. doctoris ... Tractatus de viribus medicamentorum / [Herman Boerhaave].",wellcome-collection,UK,,1740,discovered,canonical,no,hermanni boerhaave phil and med doctoris tractatus de viribus medicamentorum,unknown::hermanni boerhaave phil and med doctoris tractatus de viribus medicamentorum,476,0,38,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: materia-medica; recommended lane: wellcome-collection; canonical candidate
193,1452,uncovered_family,family-manuale-medicaminum-simplicium-et-commistorum-fo-61af7f3023,Manuale medicaminum simplicium et commistorum formulas continens,wellcome-hpv4n52g,1,0,1,0,wellcome-collection,UK,materia-medica,wellcome-hpv4n52g,Manuale medicaminum simplicium et commistorum formulas continens : in usum valetudinarii Bristoliensis accommodatum.,wellcome-collection,UK,,1816,discovered,canonical,no,manuale medicaminum simplicium et commistorum formulas continens,unknown::manuale medicaminum simplicium et commistorum formulas continens,476,0,38,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: materia-medica; recommended lane: wellcome-collection; canonical candidate
194,1452,uncovered_family,family-materia-indica-unknown-7ba2bad4cb,Materia Indica,wellcome-w77mv7fb,1,0,1,0,wellcome-collection,UK,materia-medica,wellcome-w77mv7fb,"Materia Indica : or, some account of those articles which are employed by the Hindoos, and other Eastern nations, in their medicine, arts, and agriculture ... / by Whitelaw Ainslie.",wellcome-collection,UK,,1826,discovered,canonical,no,materia indica,unknown::materia indica,476,0,38,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: materia-medica; recommended lane: wellcome-collection; canonical candidate
195,1452,uncovered_family,family-materia-indica-or-some-account-of-those-articles-246e32a093,"Materia Indica; or, some account of those articles which are employed by the Hindoos, and other Eastern nations in their medicine, arts, and agriculture ...",wellcome-vu5p5mxh,1,0,1,0,wellcome-collection,UK,materia-medica,wellcome-vu5p5mxh,"Materia Indica; or, some account of those articles which are employed by the Hindoos, and other Eastern nations in their medicine, arts, and agriculture ... / By Whitelaw Ainslie.",wellcome-collection,UK,,1826,discovered,canonical,no,materia indica,unknown::materia indica,476,0,38,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: materia-medica; recommended lane: wellcome-collection; canonical candidate
196,1452,uncovered_family,family-medical-transactions-unknown-cd757c7a96,Medical transactions.,wellcome-tdytw8rg,1,0,1,0,wellcome-collection,UK,materia-medica,wellcome-tdytw8rg,Medical transactions.,wellcome-collection,UK,,1768,discovered,canonical,no,medical transactions,unknown::medical transactions,476,0,38,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: materia-medica; recommended lane: wellcome-collection; canonical candidate
197,1452,uncovered_family,family-medical-zoology-and-mineralogy-or-illustrations--eaa3043a41,"Medical zoology and mineralogy. Or, Illustrations and descriptions of the animals and minerals employed in medicine and of the preparations derived from them",wellcome-s6phakhx,1,0,1,0,wellcome-collection,UK,materia-medica,wellcome-s6phakhx,"Medical zoology and mineralogy. Or, Illustrations and descriptions of the animals and minerals employed in medicine and of the preparations derived from them : including also an account of animal and mineral poisons ... / By John Stephenson.",wellcome-collection,UK,,1838,discovered,canonical,no,medical zoology and mineralogy,unknown::medical zoology and mineralogy,476,0,38,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: materia-medica; recommended lane: wellcome-collection; canonical candidate
198,1452,uncovered_family,family-medical-zoology-and-mineralogy-unknown-e2929c09aa,"Medical zoology, and mineralogy",wellcome-q7r8q7ur,1,0,1,0,wellcome-collection,UK,materia-medica,wellcome-q7r8q7ur,"Medical zoology, and mineralogy : or, illustrations and descriptions of the animals and minerals employed in medicine, and of the preparations derived from them: including also an account of animal and mineral poisons: with figures coloured from nature / by John Stephenson.",wellcome-collection,UK,,1838,discovered,canonical,no,medical zoology and mineralogy,unknown::medical zoology and mineralogy,476,0,38,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: materia-medica; recommended lane: wellcome-collection; canonical candidate
199,1452,uncovered_family,family-medicine-chest-and-instructive-advice-unknown-d61d5d9d4b,Medicine chest and instructive advice,wellcome-adhrycwx,1,0,1,0,wellcome-collection,UK,materia-medica,wellcome-adhrycwx,Medicine chest and instructive advice : with directions for ships and family use / prepared and put up by George W. Hoppin.,wellcome-collection,UK,,1823,discovered,canonical,no,medicine chest and instructive advice,unknown::medicine chest and instructive advice,476,0,38,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: materia-medica; recommended lane: wellcome-collection; canonical candidate
200,1452,uncovered_family,family-mother-nurse-and-infant-unknown-30a7113e29,"Mother, nurse and infant",wellcome-fhvg7j7r,1,0,1,0,wellcome-collection,UK,materia-medica,wellcome-fhvg7j7r,"Mother, nurse and infant : a manual especially adapted for the guidance of mothers and monthly nurses, comprising full instruction in regard to pregnancy, preparation for child-birth, and the care of mother and child, and designed to ... direct the wife, mother and nurse in all emergencies / by S. P. Hackett.",wellcome-collection,UK,,1889,discovered,canonical,no,mother nurse and infant,unknown::mother nurse and infant,476,0,50,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: materia-medica; recommended lane: wellcome-collection; canonical candidate
201,1452,uncovered_family,family-observations-on-the-use-of-bathing-warm-and-cold-21da560146,"Observations on the use of bathing; warm and cold: and the diseases it will cure without a doctor. With an account of the Cicer Venereum, or ... ; the celebrated restorative among the antient Greeks, used in their baths and at their tables. Illustrated with its figure.",wellcome-e9rxjngp,1,0,1,0,wellcome-collection,UK,herbal,wellcome-e9rxjngp,"Observations on the use of bathing; warm and cold: and the diseases it will cure without a doctor. With an account of the Cicer Venereum, or ... ; the celebrated restorative among the antient Greeks, used in their baths and at their tables. Illustrated with its figure.",wellcome-collection,UK,,1759,discovered,canonical,no,observations on the use of bathing,unknown::observations on the use of bathing,419,76,95,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: herbal; recommended lane: wellcome-collection; canonical candidate
202,1452,uncovered_family,family-praxis-barbettiana-unknown-981a072a95,Praxis Barbettiana.,wellcome-bf2zrtdd,1,0,1,0,wellcome-collection,UK,materia-medica,wellcome-bf2zrtdd,Praxis Barbettiana.,wellcome-collection,UK,,1665,discovered,canonical,no,praxis barbettiana,unknown::praxis barbettiana,476,0,38,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: materia-medica; recommended lane: wellcome-collection; canonical candidate
203,1452,uncovered_family,family-some-account-of-the-general-and-medical-topograp-7c23e116bc,Some account of the general and medical topography of Ajmeer,wellcome-ecqap5hh,1,0,1,0,wellcome-collection,UK,materia-medica,wellcome-ecqap5hh,Some account of the general and medical topography of Ajmeer / by Robert Hamilton Irvine.,wellcome-collection,UK,,1841,discovered,canonical,no,some account of the general and medical topography of ajmeer,unknown::some account of the general and medical topography of ajmeer,476,0,38,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: materia-medica; recommended lane: wellcome-collection; canonical candidate
204,1452,uncovered_family,family-synopsis-observationum-medicarum-unknown-5f10e37c92,"Synopsis observationum medicarum,",wellcome-rcmyegxh,1,0,1,0,wellcome-collection,UK,materia-medica,wellcome-rcmyegxh,"Synopsis observationum medicarum, : de selectiorum medicamentorum viribus. In qua reperitur historia & curatio anginae inflammatoriae epidemicae ... Accedunt Observationes medicae Philippi Lud. de Presseux, De aquis Spadanis. / Rudolphi Zaffii, M.D.",wellcome-collection,UK,,1751,discovered,canonical,no,synopsis observationum medicarum,unknown::synopsis observationum medicarum,476,0,38,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: materia-medica; recommended lane: wellcome-collection; canonical candidate
205,1452,uncovered_family,family-family-adviser-or-a-plain-and-modern-practice-of-34b99a6742,"The family adviser, or, A plain and modern practice of physic",wellcome-bmsv4bw3,1,0,1,0,wellcome-collection,UK,materia-medica,wellcome-bmsv4bw3,"The family adviser, or, A plain and modern practice of physic : calculated for the use of private families, and accommodated to the diseases of America / by Henry Wilkins, M.D. ; to which is annexed, Mr. Wesley's Primitive physic, revised.",wellcome-collection,UK,,1793,discovered,canonical,no,family adviser,unknown::family adviser,476,0,38,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: materia-medica; recommended lane: wellcome-collection; canonical candidate
206,1452,uncovered_family,family-family-adviser-or-a-plain-and-modern-practice-of-f57aa8913a,"The family adviser, or, A plain and modern practice of physic",wellcome-pbjg3fsk,1,0,1,0,wellcome-collection,UK,materia-medica,wellcome-pbjg3fsk,"The family adviser, or, A plain and modern practice of physic : calculated for the use of families who have not the advantages of a physician, and accommodated to the diseases of America / by Henry Wilkins, M.D. ; to which is annexed Mr. Wesley's Primitive physic, revised.",wellcome-collection,UK,,1795,discovered,canonical,no,family adviser,unknown::family adviser,476,0,38,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: materia-medica; recommended lane: wellcome-collection; canonical candidate
207,1452,uncovered_family,family-method-of-physick-conteining-the-causes-signes-a-987894efe8,"The method of physick, conteining the causes, signes, and cures of inward diseases in mans bodie from the head to the foote. Whereunto is added, the forme and rule of making remedies and medicines, which our phisitions commonly use at this day, with the proportion, quantitie, and names of ech medicine",wellcome-abugrzmn,1,0,1,0,wellcome-collection,UK,materia-medica,wellcome-abugrzmn,"The method of physick, conteining the causes, signes, and cures of inward diseases in mans bodie from the head to the foote. Whereunto is added, the forme and rule of making remedies and medicines, which our phisitions commonly use at this day, with the proportion, quantitie, and names of ech medicine / By Philip Barrough.",wellcome-collection,UK,,1624,discovered,canonical,no,method of physick conteining the causes signes and cures of inward diseases in mans bodie from the head to the foote whereunto is added the forme and rule of making remedies and medicines which our phisitions commonly use at this day with the proportion quantitie and names of ech medicine,unknown::method of physick conteining the causes signes and cures of inward diseases in mans bodie from the head to the foote whereunto is added the forme and rule of making remedies and medicines which our phisitions commonly use at this day with the proportion quantitie and names of ech medicine,476,0,38,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: materia-medica; recommended lane: wellcome-collection; canonical candidate
208,1452,uncovered_family,family-method-of-physick-conteining-the-causes-signes-a-f0bcee4feb,"The method of physick, conteining the causes, signes, and cures of inward diseases in mans body from the head to the foote. Whereunto is added, the forme and rule of making remedies and medicines, which our phisitions commonly use at this day, with the proportion, quantitie, and names of ech medicine",wellcome-f766entk,1,0,1,0,wellcome-collection,UK,materia-medica,wellcome-f766entk,"The method of physick, conteining the causes, signes, and cures of inward diseases in mans body from the head to the foote. Whereunto is added, the forme and rule of making remedies and medicines, which our phisitions commonly use at this day, with the proportion, quantitie, and names of ech medicine / by Philip Barrough.",wellcome-collection,UK,,1617,discovered,canonical,no,method of physick conteining the causes signes and cures of inward diseases in mans body from the head to the foote whereunto is added the forme and rule of making remedies and medicines which our phisitions commonly use at this day with the proportion quantitie and names of ech medicine,unknown::method of physick conteining the causes signes and cures of inward diseases in mans body from the head to the foote whereunto is added the forme and rule of making remedies and medicines which our phisitions commonly use at this day with the proportion quantitie and names of ech medicine,476,0,38,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: materia-medica; recommended lane: wellcome-collection; canonical candidate
209,1452,uncovered_family,family-pharmacopoeian-physicians-repository-unknown-350ee63ec2,The pharmacopoeian physician's repository.,wellcome-n299622w,1,0,1,0,wellcome-collection,UK,materia-medica,wellcome-n299622w,"The pharmacopoeian physician's repository. : Accommodated with elaborate medicinal arcana's. Appositely serving to the whole practice of physick. Exhibited as an exemplar, for imitation and incitation, to the industrious professors in this faculty. / By E. Maynwaringe.",wellcome-collection,UK,,1670,discovered,canonical,no,pharmacopoeian physicians repository,unknown::pharmacopoeian physicians repository,476,0,38,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: materia-medica; recommended lane: wellcome-collection; canonical candidate
210,1450,uncovered_family,family-lantidotaire-nicolas-unknown-1e2e9cf312,L'Antidotaire Nicolas,wellcome-p357zf2w,1,0,1,0,wellcome-collection,UK,herbal,wellcome-p357zf2w,"L'Antidotaire Nicolas : deux traductions françaises de l'Antidotarium Nicolai l'une du XIVe siècle, suivie de quelques recettes de la même époque et d'un glossaire l'autre du XVe siècle, incomplète ... / par Paul Dorveaux ; préface de Antoine Thomas.",wellcome-collection,UK,,1896,discovered,canonical,no,lantidotaire nicolas,unknown::lantidotaire nicolas,417,74,95,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: herbal; recommended lane: wellcome-collection; canonical candidate
211,1450,uncovered_family,family-oxford-medical-lore-and-lecture-memoranda-b-m-a--28e420743a,"Oxford medical lore and lecture memoranda, B.M.A. meeting, 1904.",wellcome-mxv7p8s6,1,0,1,0,wellcome-collection,UK,botany,wellcome-mxv7p8s6,"Oxford medical lore and lecture memoranda, B.M.A. meeting, 1904.",wellcome-collection,UK,,1904,discovered,canonical,no,oxford medical lore and lecture memoranda b m a meeting 1904,unknown::oxford medical lore and lecture memoranda b m a meeting 1904,468,0,44,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: botany; recommended lane: wellcome-collection; canonical candidate
212,1449,uncovered_family,family-british-pharmacopoeia-1867-unknown-2a4cd1d417,"British pharmacopoeia, 1867",wellcome-cga9z6sg,2,0,2,0,wellcome-collection,UK,pharmacopoeia,wellcome-cga9z6sg,"British pharmacopœia, 1867 / published under the direction of the General Council of Medical Education and Registration of the United Kingdom.",wellcome-collection,UK,,1867,discovered,canonical,no,british pharmacopoeia 1867,unknown::british pharmacopoeia 1867,465,0,18,0,0,0,0,Uncovered family; 2 works in family; 0 chunked; 2 discovered; topics: pharmacopoeia; recommended lane: wellcome-collection; canonical candidate
213,1449,uncovered_family,family-health-at-home-unknown-2cd96cde1a,Health at home,wellcome-udx47phe,1,0,1,0,wellcome-collection,UK,household-health;public-health,wellcome-udx47phe,Health at home / by A.H. Guernsey ; and Irenæus P. Davis.,wellcome-collection,UK,,1884,discovered,canonical,no,health at home,unknown::health at home,459,18,52,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: household-health;public-health; recommended lane: wellcome-collection; canonical candidate
214,1449,uncovered_family,family-la-maison-unknown-d7ac16c75a,La maison,wellcome-z227ynng,1,0,1,0,wellcome-collection,UK,household-health;public-health,wellcome-z227ynng,La maison : étude d'hygiène et de bien-être domestiques / par J.-B. Fonssagrives.,wellcome-collection,UK,,1871,discovered,canonical,no,la maison,unknown::la maison,459,18,52,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: household-health;public-health; recommended lane: wellcome-collection; canonical candidate
215,1449,uncovered_family,family-secret-of-health-with-the-story-of-the-missing-b-5f4c996a28,"The secret of health, with the story of ""the missing bag""",wellcome-meb7xmkx,1,0,1,0,wellcome-collection,UK,hygiene;nursing,wellcome-meb7xmkx,"The secret of health, with the story of ""the missing bag"" / by a Diplomée of a London hospital.",wellcome-collection,UK,,1885,discovered,canonical,no,secret of health with the story of the missing bag,unknown::secret of health with the story of the missing bag,459,18,52,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: hygiene;nursing; recommended lane: wellcome-collection; canonical candidate
216,1448,uncovered_family,family-biennial-retrospect-of-medicine-surgery-and-thei-4f5c5f9327,"A biennial retrospect of medicine, surgery, and their allied sciences, for 1867-8",wellcome-bvtjbzaj,1,0,1,0,wellcome-collection,UK,materia-medica,wellcome-bvtjbzaj,"A biennial retrospect of medicine, surgery, and their allied sciences, for 1867-8 / edited by H. Power [and others] for the New Sydenham Society.",wellcome-collection,UK,,1869,discovered,canonical,no,biennial retrospect of medicine surgery and their allied sciences for 1867 8,unknown::biennial retrospect of medicine surgery and their allied sciences for 1867 8,472,0,38,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: materia-medica; recommended lane: wellcome-collection; canonical candidate
217,1448,uncovered_family,family-biennial-retrospect-of-medicine-surgery-and-thei-a9f90672bb,"A biennial retrospect of medicine, surgery, and their allied sciences, for 1869-70",wellcome-atw5qzck,1,0,1,0,wellcome-collection,UK,materia-medica,wellcome-atw5qzck,"A biennial retrospect of medicine, surgery, and their allied sciences, for 1869-70 / edited by H. Power [and others] for the New Sydenham Society.",wellcome-collection,UK,,1871,discovered,canonical,no,biennial retrospect of medicine surgery and their allied sciences for 1869 70,unknown::biennial retrospect of medicine surgery and their allied sciences for 1869 70,472,0,38,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: materia-medica; recommended lane: wellcome-collection; canonical candidate
218,1448,uncovered_family,family-biennial-retrospect-of-medicine-surgery-and-thei-ffacfc70fc,"A biennial retrospect of medicine, surgery, and their allied sciences, for 1871-72",wellcome-y282y42n,1,0,1,0,wellcome-collection,UK,materia-medica,wellcome-y282y42n,"A biennial retrospect of medicine, surgery, and their allied sciences, for 1871-72 / edited by H. Power [and others] for the New Sydenham Society.",wellcome-collection,UK,,1873,discovered,canonical,no,biennial retrospect of medicine surgery and their allied sciences for 1871 72,unknown::biennial retrospect of medicine surgery and their allied sciences for 1871 72,472,0,38,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: materia-medica; recommended lane: wellcome-collection; canonical candidate
219,1448,uncovered_family,family-companion-to-the-united-states-pharmacopoeia-unk-3de95a4e33,A companion to the United States Pharmacopoeia,wellcome-x3ssb7hr,1,0,1,0,wellcome-collection,UK,pharmacopoeia,wellcome-x3ssb7hr,"A companion to the United States Pharmacopoeia : being a commentary on the latest edition of the pharmacopoeia and containing the descriptions, properties, uses, and doses of all official and numerous unofficial drugs and preparations in current use in the United States, together with practical hints, working formulas, etc., designed as a ready reference book for pharmacists, physicians, and students : with over 650 original illustrations / by Oscar Oldberg and Otto A. Wall.",wellcome-collection,UK,,1887,discovered,canonical,no,companion to the united states pharmacopoeia,unknown::companion to the united states pharmacopoeia,472,0,38,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: pharmacopoeia; recommended lane: wellcome-collection; canonical candidate
220,1448,uncovered_family,family-compend-of-dental-pathology-and-dental-medicine--3d2547e143,A compend of dental pathology and dental medicine.,wellcome-gpp79sus,1,0,1,0,wellcome-collection,UK,materia-medica,wellcome-gpp79sus,A compend of dental pathology and dental medicine.,wellcome-collection,UK,,1899,discovered,canonical,no,compend of dental pathology and dental medicine,unknown::compend of dental pathology and dental medicine,472,0,38,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: materia-medica; recommended lane: wellcome-collection; canonical candidate
221,1448,uncovered_family,family-chemical-commerce-and-its-commodities-unknown-afb6999ee6,Chemical commerce and its commodities,wellcome-r2ykydb2,1,0,1,0,wellcome-collection,UK,materia-medica,wellcome-r2ykydb2,"Chemical commerce and its commodities : a valedictory address / by Prof. R. Welch, A.M., at commencement of Hahnemann Medical College, 1866.",wellcome-collection,UK,,1866,discovered,canonical,no,chemical commerce and its commodities,unknown::chemical commerce and its commodities,472,0,38,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: materia-medica; recommended lane: wellcome-collection; canonical candidate
222,1448,uncovered_family,family-medical-hints-for-the-people-unknown-67c9654b99,Medical hints for the people,wellcome-ec55ag7t,1,0,1,0,wellcome-collection,UK,materia-medica,wellcome-ec55ag7t,Medical hints for the people : a few facts worth knowing.,wellcome-collection,UK,,1866,discovered,canonical,no,medical hints for the people,unknown::medical hints for the people,472,0,38,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: materia-medica; recommended lane: wellcome-collection; canonical candidate
223,1448,uncovered_family,family-medicine-and-the-naturalist-tradition-boyd-k1-f60f9ec4af,Medicine and the naturalist tradition,nlm-9013595,1,0,1,0,nlm-digital-collections,US,botany,nlm-9013595,Medicine and the naturalist tradition : a brochure to accompany an exhibition of medically-related natural history books from the collections of the National Library of Medicine,nlm-digital-collections,US,"Boyd, Katherine, 1958-",,discovered,canonical,no,medicine and the naturalist tradition,boyd katherine 1958::medicine and the naturalist tradition,466,0,44,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: botany; recommended lane: nlm-digital-collections; canonical candidate
224,1448,uncovered_family,family-memorial-from-the-professor-of-botany-in-the-uni-2876bef6a7,"Memorial from the professor of botany in the University of Pennsylvania, to the Trustees of that institution",nlm-2542063R,1,0,1,0,nlm-digital-collections,US,botany,nlm-2542063R,"Memorial from the professor of botany in the University of Pennsylvania, to the Trustees of that institution : praying for the removal of the professorship from the faculty of natural science, into the medical faculty, and to render it a requisite branch for the attainment of a medical degree",nlm-digital-collections,US,"Barton, William P. C. (William Paul Crillon), 1786-1856.",,discovered,canonical,no,memorial from the professor of botany in the university of pennsylvania to the trustees of that institution,barton william p c 1786 1856::memorial from the professor of botany in the university of pennsylvania to the trustees of that institution,466,0,44,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: botany; recommended lane: nlm-digital-collections; canonical candidate
225,1448,uncovered_family,family-notes-on-the-therapeutics-of-indigenous-vegetabl-512c7b3f39,Notes on the therapeutics of indigenous vegetable drugs,wellcome-jf6f297d,1,0,1,0,wellcome-collection,UK,materia-medica,wellcome-jf6f297d,Notes on the therapeutics of indigenous vegetable drugs / by Lakshman B. Dhargalker.,wellcome-collection,UK,,1899,discovered,canonical,no,notes on the therapeutics of indigenous vegetable drugs,unknown::notes on the therapeutics of indigenous vegetable drugs,472,0,38,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: materia-medica; recommended lane: wellcome-collection; canonical candidate
226,1448,uncovered_family,family-principales-caracteres-botanicos-de-las-familias-93d8032f70,"Principales caracteres botanicos de las familias a que pertenecen las plantas, cuyos usos terapeuticos son mas conocidos.",wellcome-qmzj7w6q,1,0,1,0,wellcome-collection,UK,materia-medica,wellcome-qmzj7w6q,"Principales caracteres botanicos de las familias a que pertenecen las plantas, cuyos usos terapeuticos son mas conocidos.",wellcome-collection,UK,,1851,discovered,canonical,no,principales caracteres botanicos de las familias a que pertenecen las plantas cuyos usos terapeuticos son mas conocidos,unknown::principales caracteres botanicos de las familias a que pertenecen las plantas cuyos usos terapeuticos son mas conocidos,472,0,38,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: materia-medica; recommended lane: wellcome-collection; canonical candidate
227,1448,uncovered_family,family-rough-notes-on-remedies-unknown-0f8a992c0e,Rough notes on remedies,wellcome-q2br74rj,1,0,1,0,wellcome-collection,UK,materia-medica,wellcome-q2br74rj,Rough notes on remedies / by Wm. Murray.,wellcome-collection,UK,,1897,discovered,canonical,no,rough notes on remedies,unknown::rough notes on remedies,472,0,38,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: materia-medica; recommended lane: wellcome-collection; canonical candidate
